Date,Close,High,Low,Open,Volume,Ticker,return_1d,return_5d,return_10d,return_20d,price_vs_ma20,price_vs_ma50,rsi_14,macd,macd_signal,macd_hist,bb_width,atr_14,volume_ratio,volume_trend,price_volume_signal,market_return_1d,day_of_week,month,quarter,target
2019-07-05,152.34335327148438,152.570021145442,150.36244177192756,151.7224640536801,3940900,CRM,-0.006491555703538432,0.025814656056827756,-0.01666657966612084,-0.029690441871998652,0.011116574109779176,-0.006933073424973735,51.74245413062671,-0.29687067790595734,-0.790176336068228,0.4933056581622707,0.07969757221905549,0.02213451046275603,0.48357983319078757,-0.4232379112516099,-0.0031391854242658205,-0.0014231865612571505,4,7,3,2.0
2019-07-08,150.59893798828125,151.46620978262342,149.84007516823186,151.29867137471723,4717400,CRM,-0.011450550652475688,0.007117829185569136,-0.025695304929622464,-0.05245876898245461,0.0023120050456155727,-0.017005860405368778,48.45954135144226,-0.31492086850144574,-0.6951252425548716,0.3802043740534259,0.06197975929476912,0.02197884509498881,0.5877255876913263,-0.3199261886226682,-0.006729781611615574,-0.005529773119212022,0,7,3,2.0
2019-07-09,151.72247314453125,151.9590059650117,149.48531387792718,149.8795352453946,4979100,CRM,0.007460445413880912,-0.0007139420090954696,0.009111172296320413,0.007592243534666032,0.009405680677080586,-0.008139707461262247,50.63213321822554,-0.23584717780272513,-0.6032696296044423,0.3674224518017172,0.06252251935318091,0.021422371022792694,0.7340909007139513,-0.23119325551232162,0.005476645093603106,0.005099149685005045,1,7,3,2.0
2019-07-10,154.0089111328125,154.13701991829322,152.3335116846151,152.3335116846151,4966300,CRM,0.015069870276258834,0.01395030450772694,0.04640427372916833,0.04075945088441779,0.022565654799636903,0.00798814431624173,54.80713960902221,0.011186774690798984,-0.4803783487453941,0.4915651234361931,0.06419087118614743,0.020716734090152664,0.7920386266950015,0.04856111310516642,0.01193591935807987,0.008717330263437217,2,7,3,1.0
2019-07-11,156.600830078125,156.9950514007229,154.35382117233735,154.55093935263923,7083200,CRM,0.016829668661687336,0.02127361466957245,0.0661567227710913,0.05037011170182604,0.03718927772636227,0.025805814074381317,59.036339511185474,0.41136717442219606,-0.3020292441118761,0.7133964185340722,0.07196812389939278,0.020280608537647713,1.1303513836559285,0.8230298038811963,0.0190234392582091,0.006554972941688553,3,7,3,1.0
2019-07-12,155.792724609375,157.31043556046157,155.1225557856428,157.0936175620195,4348000,CRM,-0.005160288539638347,0.02264208620735597,0.04904123993203546,0.04453575492996831,0.02957231493360757,0.02104891031761702,57.23786967595629,0.6557466277083677,-0.11047406974782734,0.766220697456195,0.0759553989442175,0.019932785506756326,0.698464919326338,0.1033012763581922,-0.0036042805185391245,0.002450062015217713,4,7,3,1.0
2019-07-15,157.34002685546875,157.52728016192893,155.2014262714966,156.46290481837408,3603700,CRM,0.00993180040963626,0.04476186191772524,0.052198298390452536,0.06426282041357823,0.03654382228437081,0.03148024214366796,59.76528415090766,0.9631706335017611,0.10425487090209036,0.8589157625996707,0.08009708020351694,0.019382876538478467,0.5914632795298755,-0.23608343579090174,0.005874295241919624,0.0008203806108089573,0,7,3,1.0
2019-07-16,154.8564453125,159.27161868374307,154.53121837355948,157.64549902704573,6913100,CRM,-0.01578480436672447,0.020655952299059255,0.019927263137879736,0.045511992922142364,0.017921917509521323,0.016013820364945364,54.22531703782053,0.9949331288181327,0.28239052248529883,0.7125426063328338,0.07852091822421421,0.020473584106934534,1.1125183459072534,0.3884236106926955,-0.0175608844445379,-0.004022024447706679,1,7,3,1.0
2019-07-17,155.9503936767578,157.6060781438155,155.37878402846235,155.3984838163992,4160500,CRM,0.007064274025212258,0.012606300048904506,0.026732466281029543,0.05080026583680408,0.022578926991822845,0.02375521916463197,56.15327874757288,1.0957465416271077,0.44506172631366064,0.650684815313447,0.0778694841067858,0.020137216962597168,0.6869983842617017,-0.1622535891911483,0.004853144841302729,-0.0016029131060684599,2,7,3,1.0
2019-07-18,155.6941680908203,156.28549264875608,153.9497892171254,154.72835201499956,3724000,CRM,-0.0016429941592105424,-0.005789637174032691,0.015360810985222795,0.024912523711636325,0.01963372712188516,0.02193038401029712,55.562983923466476,1.1418046212559148,0.5844103053021115,0.5573943159538033,0.07975194326385156,0.019801179007452267,0.6379454183219158,-0.47424892703862664,-0.0010481405961980338,-0.00396718321832612,3,7,3,1.0
